disasterNumber,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,totalObligatedAmountHmgp,paLoadDate,iaLoadDate
4644,,,,113127194.1,83799456.95,18528289.99,7749195.01,2026-05-08T00:00:00.000Z,
5255,,,,1411540.89,31347.88,,0.0,2026-02-06T00:00:00.000Z,
5179,,,,81038.27,8820.76,,0.0,2026-02-06T00:00:00.000Z,
5203,,,,5560247.76,492944.85,,0.0,2026-02-06T00:00:00.000Z,
5004,,,,5285123.42,41966.23,,0.0,2026-02-06T00:00:00.000Z,
2454,,,,9320013.02,2494.17,,,2026-02-06T00:00:00.000Z,
5028,,,,1249472.02,,,0.0,2026-02-06T00:00:00.000Z,
5288,,,,2658681.22,17115.17,,486443.35,2026-02-06T00:00:00.000Z,
5092,,,,14620253.01,55459.35,,459594.0,2026-02-06T00:00:00.000Z,
5254,,,,9258.91,3000.68,,0.0,2026-02-06T00:00:00.000Z,
2376,,,,536017.54,536017.54,,,2026-02-06T00:00:00.000Z,
5030,,,,3725524.98,,,0.0,2026-02-06T00:00:00.000Z,
5097,,,,3214693.54,26601.47,,39142.24,2026-02-06T00:00:00.000Z,
2810,,,,16361.8,,,0.0,2026-02-06T00:00:00.000Z,
3097,,,,20174330.8,20180369.86,-6039.06,,2026-02-06T00:00:00.000Z,
5523,,,,,,,0.0,,
2119,,,,90917.25,90917.25,,,2026-02-06T00:00:00.000Z,
2802,,,,329201.83,26943.75,,0.0,2026-02-06T00:00:00.000Z,
2096,,,,78682.0,78682.0,,,2026-02-06T00:00:00.000Z,
2370,,,,334733.96,334733.96,,,2026-02-06T00:00:00.000Z,
2107,,,,145739.3,145739.3,,,2026-02-06T00:00:00.000Z,
5571,,,,,,,0.0,,
2748,,,,1046537.88,,,0.0,2026-02-06T00:00:00.000Z,
5369,,,,54110.05,,,0.0,2026-02-06T00:00:00.000Z,
2984,,,,5679187.27,,,0.0,2026-02-06T00:00:00.000Z,
2394,,,,133002.75,133002.75,,,2026-02-06T00:00:00.000Z,
2633,,,,750.0,,,0.0,2026-02-06T00:00:00.000Z,
4783,7483136.9,5292235.8,2190901.1,19372607.44,309244.55,18531997.97,0.0,2026-05-08T00:00:00.000Z,2026-05-08T00:00:00.000Z
2233,,,,367.0,367.0,,,2026-02-06T00:00:00.000Z,
2173,,,,28434.0,28434.0,,,2026-02-06T00:00:00.000Z,
3101,,,,644399.12,644399.12,,,2026-02-06T00:00:00.000Z,
2080,,,,151581.41,,151581.41,,2026-02-06T00:00:00.000Z,
